analysis,condition,network,network_frequency_hz,delta_mean_R_mean,delta_mean_R_sd,delta_mean_R_sem,delta_mean_R_ci95_low,delta_mean_R_ci95_high,delta_mean_R_ci95_halfwidth,delta_mean_R_ci_method,n_blocks,delta_lock_fraction_R_ge_0_55_mean,delta_strong_lock_fraction_R_ge_0_70_mean,coupling_multiplier,forcing_multiplier,coupling_strength_K_cycles_per_s,jitter_level,forcing_strength_cycles_per_s,natural_frequency_sd_hz
condition_comparison,CLEAN_MATCHED,network_10_00Hz,10.0,0.11356259543197156,0.05740784081637883,0.011718326436254119,0.08932139026823975,0.13780380059570338,0.02424120516373181,student_t,24,0.0012291666666666666,0.0,,,,,,
condition_comparison,CLEAN_MATCHED,network_14_30Hz,14.3,0.11752323330739238,0.06503012638551257,0.013274218962767231,0.09006341922769509,0.14498304738708967,0.027459814079697283,student_t,24,0.0008958333333333332,0.0,,,,,,
condition_comparison,CLEAN_MATCHED,network_20_80Hz,20.8,0.11768573421036162,0.07055883608505363,0.014402762104421539,0.08789135077199493,0.14748011764872831,0.029794383438366687,student_t,24,0.001875,0.0,,,,,,
condition_comparison,CLEAN_MATCHED,network_27_30Hz,27.3,0.1193330560230091,0.06202607209005706,0.012661018947477062,0.09314174282165091,0.1455243692243673,0.026191313201358195,student_t,24,0.005125,0.0,,,,,,
condition_comparison,CLEAN_MATCHED,network_33_80Hz,33.8,0.10674862559444113,0.06843886058839581,0.01397002391825362,0.07784942929820965,0.13564782189067262,0.02889919629623149,student_t,24,0.0053125,0.0,,,,,,
condition_comparison,CLEAN_MATCHED,network_7_83Hz,7.83,0.09068877990712927,0.07012117398995499,0.014313424703359112,0.06107920496336543,0.12029835485089312,0.02960957494376384,student_t,24,0.00125,0.0,,,,,,
condition_comparison,FAR_DETUNED,network_10_00Hz,10.0,-5.1691174236158606e-05,0.0014660334207575285,0.00029925281889357514,-0.0006707427954797061,0.0005673604470073889,0.0006190516212435475,student_t,24,0.0,0.0,,,,,,
condition_comparison,FAR_DETUNED,network_14_30Hz,14.3,-0.0005513900720854394,0.00242957759768347,0.0004959354504017879,-0.0015773107158356964,0.0004745305716648177,0.0010259206437502571,student_t,24,0.0,0.0,,,,,,
condition_comparison,FAR_DETUNED,network_20_80Hz,20.8,-2.92136496469024e-05,0.001268238273253386,0.00025887805347826824,-0.0005647437051451914,0.0005063164058513866,0.000535530055498289,student_t,24,0.0,0.0,,,,,,
condition_comparison,FAR_DETUNED,network_27_30Hz,27.3,0.00022276146755803236,0.002540913917682725,0.0005186618815549047,-0.0008501723809547844,0.001295695316070849,0.0010729338485128167,student_t,24,0.0,0.0,,,,,,
condition_comparison,FAR_DETUNED,network_33_80Hz,33.8,0.0004938980736712614,0.0015705563665432826,0.0003205884758592157,-0.0001692897167275486,0.0011570858640700713,0.00066318779039881,student_t,24,0.0,0.0,,,,,,
condition_comparison,FAR_DETUNED,network_7_83Hz,7.83,0.0007259436576293824,0.002668340553116817,0.0005446727345926696,-0.0004007977399734982,0.001852685055232263,0.0011267413976028806,student_t,24,0.0,0.0,,,,,,
