mean_R,max_R,lock_fraction_R_ge_0_55,strong_lock_fraction_R_ge_0_70,stimulus_plv,network,network_frequency_hz,replicate,condition,detuning_hz,coupling_multiplier,forcing_multiplier,base_k_cycles_per_s,forcing_strength_cycles_per_s,effective_k_cycles_per_s,effective_forcing_cycles_per_s,duration_s,dt,burn_in_s,n_oscillators
0.22746903667007387,0.4340023967609859,0.0,0.0,0.20080653769793635,network_10_00Hz,10.0,0,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.1453241449836543,0.31156169942169015,0.0,0.0,0.01040862062079136,network_10_00Hz,10.0,0,FAR_DETUNED,6.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.18705469831690125,0.4636745099702951,0.0,0.0,0.020932271139719474,network_10_00Hz,10.0,0,HIGH_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.1533294492490444,0.32887800820433494,0.0,0.0,0.007165597172100076,network_10_00Hz,10.0,0,INDEPENDENT_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.22586263017038793,0.4201883893143972,0.0,0.0,0.17734214610338778,network_10_00Hz,10.0,0,LOW_JITTER_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.14657088958905906,0.3077731722725366,0.0,0.0,0.037688685004661875,network_10_00Hz,10.0,0,NEAR_DETUNED,2.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.14615885061424072,0.3044527378323064,0.0,0.0,,network_10_00Hz,10.0,0,NO_STIMULUS,0.0,1.0,1.0,0.72,0.12,0.72,0.0,12.0,0.005,2.0,96
0.14475863142080567,0.32295239272796933,0.0,0.0,0.005711542818723768,network_10_00Hz,10.0,0,SHARED_IRREGULAR_FORCING,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.14954753849126712,0.3066499528954924,0.0,0.0,0.08026593110491362,network_10_00Hz,10.0,1,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
0.1478050654615906,0.3327122286361518,0.0,0.0,0.01017886732164235,network_10_00Hz,10.0,1,FAR_DETUNED,6.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96
