analysis,mean_R,max_R,lock_fraction_R_ge_0_55,strong_lock_fraction_R_ge_0_70,stimulus_plv,network,network_frequency_hz,replicate,condition,detuning_hz,coupling_multiplier,forcing_multiplier,base_k_cycles_per_s,forcing_strength_cycles_per_s,effective_k_cycles_per_s,effective_forcing_cycles_per_s,duration_s,dt,burn_in_s,n_oscillators,base_mean_R,base_max_R,base_lock_fraction_R_ge_0_55,base_strong_lock_fraction_R_ge_0_70,delta_mean_R,delta_max_R,delta_lock_fraction_R_ge_0_55,delta_strong_lock_fraction_R_ge_0_70,stimulated_mean_R,coupling_strength_K_cycles_per_s,jitter_level
condition_comparison,0.22746903667007387,0.4340023967609859,0.0,0.0,0.20080653769793635,network_10_00Hz,10.0,0,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.14615885061424072,0.3044527378323064,0.0,0.0,0.08131018605583315,0.12954965892867948,0.0,0.0,,,
condition_comparison,0.14954753849126712,0.3066499528954924,0.0,0.0,0.08026593110491362,network_10_00Hz,10.0,1,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.1479893247582002,0.33262618709038855,0.0,0.0,0.0015582137330669155,-0.02597623419489614,0.0,0.0,,,
condition_comparison,0.3629984040891343,0.5056187180554881,0.0,0.0,0.3554034890431447,network_10_00Hz,10.0,2,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.22684382726804597,0.40974889327183006,0.0,0.0,0.13615457682108834,0.09586982478365802,0.0,0.0,,,
condition_comparison,0.20940921433875906,0.34847106892623925,0.0,0.0,0.18243425304748326,network_10_00Hz,10.0,3,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.15162358292012937,0.35086582336926003,0.0,0.0,0.05778563141862969,-0.0023947544430207857,0.0,0.0,,,
condition_comparison,0.2250678233592352,0.40638809444151014,0.0,0.0,0.20742834866026286,network_10_00Hz,10.0,4,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.13136113682581105,0.35740951046626623,0.0,0.0,0.09370668653342415,0.048978583975243906,0.0,0.0,,,
condition_comparison,0.341145572722564,0.5242543943586097,0.0,0.0,0.33261127052524214,network_10_00Hz,10.0,5,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.20087525378838375,0.4194325368181562,0.0,0.0,0.14027031893418027,0.10482185754045348,0.0,0.0,,,
condition_comparison,0.4022353167341654,0.5835364906552682,0.0255,0.0,0.3976988499975262,network_10_00Hz,10.0,6,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.1472239746554592,0.35888739557576643,0.0,0.0,0.25501134207870624,0.22464909507950181,0.0255,0.0,,,
condition_comparison,0.2116324917990096,0.4636798996006792,0.0,0.0,0.1868072756419784,network_10_00Hz,10.0,7,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.12776890193998575,0.27308773975300143,0.0,0.0,0.08386358985902384,0.19059215984767774,0.0,0.0,,,
condition_comparison,0.3272400928318233,0.4855920473899385,0.0,0.0,0.3164938684898583,network_10_00Hz,10.0,8,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.1868261929671008,0.3178094424006428,0.0,0.0,0.14041389986472252,0.1677826049892957,0.0,0.0,,,
condition_comparison,0.22889365209838292,0.4618468767186015,0.0,0.0,0.19330574781396417,network_10_00Hz,10.0,9,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.1593277739756725,0.35440439400242235,0.0,0.0,0.06956587812271042,0.10744248271617912,0.0,0.0,,,
condition_comparison,0.3097114179843102,0.5516991187719368,0.004,0.0,0.28010668376204884,network_10_00Hz,10.0,10,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.2124300885767207,0.47712356566590797,0.0,0.0,0.09728132940758949,0.07457555310602881,0.004,0.0,,,
condition_comparison,0.28359715750409387,0.4172895747783243,0.0,0.0,0.26934617960896046,network_10_00Hz,10.0,11,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.16759533211243569,0.3526846802992273,0.0,0.0,0.11600182539165818,0.06460489447909701,0.0,0.0,,,
condition_comparison,0.3296548506965412,0.5090116197101252,0.0,0.0,0.315380411630181,network_10_00Hz,10.0,12,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.1304301826435397,0.37397623578206124,0.0,0.0,0.1992246680530015,0.13503538392806397,0.0,0.0,,,
condition_comparison,0.2840576406345691,0.4480514602138015,0.0,0.0,0.266997617262381,network_10_00Hz,10.0,13,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.14077074329064562,0.28649283393350156,0.0,0.0,0.1432868973439235,0.16155862628029993,0.0,0.0,,,
condition_comparison,0.30843869605926955,0.5037686126185873,0.0,0.0,0.2975919015395618,network_10_00Hz,10.0,14,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.18987534046302754,0.38870938957034273,0.0,0.0,0.11856335559624201,0.11505922304824456,0.0,0.0,,,
condition_comparison,0.2004329257498842,0.4450916188240933,0.0,0.0,0.17230586776828322,network_10_00Hz,10.0,15,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.14896098215812603,0.396546315628608,0.0,0.0,0.05147194359175816,0.048545303195485334,0.0,0.0,,,
condition_comparison,0.25743454806309685,0.44907576285819895,0.0,0.0,0.23084614303690573,network_10_00Hz,10.0,16,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.1513185951610024,0.30503020683166027,0.0,0.0,0.10611595290209444,0.14404555602653868,0.0,0.0,,,
condition_comparison,0.2783035452887529,0.45490532015393637,0.0,0.0,0.25732128041276087,network_10_00Hz,10.0,17,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.16531190331799508,0.34174843977697106,0.0,0.0,0.11299164197075781,0.11315688037696531,0.0,0.0,,,
condition_comparison,0.1632740018346704,0.3608577287846001,0.0,0.0,0.11116730438430646,network_10_00Hz,10.0,18,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.14133603281657575,0.3342380017705344,0.0,0.0,0.02193796901809464,0.026619727014065675,0.0,0.0,,,
condition_comparison,0.29068697027131524,0.4751501997933203,0.0,0.0,0.26352139936088925,network_10_00Hz,10.0,19,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.16893884358273595,0.38640155113917496,0.0,0.0,0.12174812668857929,0.08874864865414533,0.0,0.0,,,
condition_comparison,0.3204134732351002,0.524075152760522,0.0,0.0,0.31023389788012534,network_10_00Hz,10.0,20,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.19390277983905374,0.3987040766338593,0.0,0.0,0.12651069339604648,0.12537107612666265,0.0,0.0,,,
condition_comparison,0.3582154360976053,0.5029332938387298,0.0,0.0,0.3497597773839637,network_10_00Hz,10.0,21,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.13671147261860006,0.2887196337369348,0.0,0.0,0.22150396347900525,0.21421366010179493,0.0,0.0,,,
condition_comparison,0.2968586267408356,0.49188276736813447,0.0,0.0,0.2857827429754635,network_10_00Hz,10.0,22,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.15747166716012265,0.38575680719132643,0.0,0.0,0.13938695958071293,0.10612596017680803,0.0,0.0,,,
condition_comparison,0.2323876275776981,0.45726267363713324,0.0,0.0,0.20760331405708757,network_10_00Hz,10.0,23,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.14255098705122954,0.3097744678328224,0.0,0.0,0.08983664052646856,0.14748820580431082,0.0,0.0,,,
condition_comparison,0.2582671823591459,0.4736683408209056,0.0,0.0,0.246233728928277,network_14_30Hz,14.3,0,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.1407586787925955,0.37291987779738994,0.0,0.0,0.11750850356655043,0.10074846302351564,0.0,0.0,,,
condition_comparison,0.26241586213144724,0.4044140511347002,0.0,0.0,0.24759280389140575,network_14_30Hz,14.3,1,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.15307725656832943,0.43315456604187436,0.0,0.0,0.10933860556311781,-0.028740514907174164,0.0,0.0,,,
condition_comparison,0.33112872967248996,0.5169286584844531,0.0,0.0,0.3192894370821839,network_14_30Hz,14.3,2,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.16371958320984478,0.39523639246099057,0.0,0.0,0.16740914646264518,0.12169226602346256,0.0,0.0,,,
condition_comparison,0.42173607195011686,0.558531749062812,0.013,0.0,0.41805025058367856,network_14_30Hz,14.3,3,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.21107632789774758,0.3863484668896709,0.0,0.0,0.21065974405236929,0.1721832821731411,0.013,0.0,,,
condition_comparison,0.29722978540264683,0.5013996694777043,0.0,0.0,0.2843123016249693,network_14_30Hz,14.3,4,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.18151470733905023,0.41942745550001476,0.0,0.0,0.1157150780635966,0.08197221397768956,0.0,0.0,,,
condition_comparison,0.36775875615208614,0.5089668576713984,0.0,0.0,0.355365847826892,network_14_30Hz,14.3,5,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.16483922601148976,0.43477367838738634,0.0,0.0,0.20291953014059638,0.07419317928401203,0.0,0.0,,,
condition_comparison,0.25182038557356506,0.4217721149394161,0.0,0.0,0.23199409007584965,network_14_30Hz,14.3,6,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.15583252794216024,0.3044386058139369,0.0,0.0,0.09598785763140483,0.11733350912547919,0.0,0.0,,,
condition_comparison,0.3083334290102037,0.5253429507254703,0.0,0.0,0.3011809972854244,network_14_30Hz,14.3,7,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.141865740630231,0.3211926923540044,0.0,0.0,0.16646768837997272,0.20415025837146594,0.0,0.0,,,
condition_comparison,0.27758766371874044,0.46334173642972903,0.0,0.0,0.26879922822033064,network_14_30Hz,14.3,8,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.1447392283445761,0.40943067644652853,0.0,0.0,0.13284843537416435,0.053911059983200504,0.0,0.0,,,
condition_comparison,0.17537250617514827,0.5006322473979313,0.0,0.0,0.13098866708977214,network_14_30Hz,14.3,9,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.1378694427810262,0.4472299520526341,0.0,0.0,0.03750306339412207,0.053402295345297224,0.0,0.0,,,
condition_comparison,0.20364037153415745,0.39675521154205756,0.0,0.0,0.16524419003505575,network_14_30Hz,14.3,10,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.1523045249778387,0.3575343716520846,0.0,0.0,0.05133584655631876,0.039220839889972936,0.0,0.0,,,
condition_comparison,0.29981500681079204,0.47365505861824486,0.0,0.0,0.2856916755173017,network_14_30Hz,14.3,11,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.13831490066054788,0.29390226262300867,0.0,0.0,0.16150010615024415,0.1797527959952362,0.0,0.0,,,
condition_comparison,0.21594391949167926,0.41377984866140466,0.0,0.0,0.19975509392417795,network_14_30Hz,14.3,12,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.14010688028728197,0.30863704551888926,0.0,0.0,0.0758370392043973,0.1051428031425154,0.0,0.0,,,
condition_comparison,0.17619218871142875,0.42263637249887015,0.0,0.0,0.1477869269235695,network_14_30Hz,14.3,13,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.1252128280607079,0.33361418459591946,0.0,0.0,0.05097936065072084,0.08902218790295069,0.0,0.0,,,
condition_comparison,0.21287820221523654,0.4106266787645148,0.0,0.0,0.1693187882644931,network_14_30Hz,14.3,14,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.16509731921915793,0.3618017480714102,0.0,0.0,0.047780882996078605,0.04882493069310462,0.0,0.0,,,
condition_comparison,0.4040085976290511,0.5031985576755849,0.0,0.0,0.3991663960026518,network_14_30Hz,14.3,15,CLEAN_MATCHED,0.0,1.0,1.0,0.72,0.12,0.72,0.12,12.0,0.005,2.0,96.0,0.19962757472241283,0.4213879441935903,0.0,0.0,0.2043810229066383,0.08181061348199453,0.0,0.0,,,
