analysis,condition,delta_mean_R_mean,delta_mean_R_sd,delta_mean_R_sem,delta_mean_R_ci95_low,delta_mean_R_ci95_high,delta_mean_R_ci95_halfwidth,delta_mean_R_ci_method,n_blocks,delta_lock_fraction_R_ge_0_55_mean,delta_strong_lock_fraction_R_ge_0_70_mean,coupling_multiplier,forcing_multiplier,coupling_strength_K_cycles_per_s,jitter_level,forcing_strength_cycles_per_s
condition_comparison,CLEAN_MATCHED,0.11092367074571752,0.02711838556650296,0.005535517273832366,0.09947258080959809,0.12237476068183695,0.011451089936119428,student_t,24,0.0026145833333333333,0.0,,,,,
condition_comparison,FAR_DETUNED,0.0001350513838150293,0.0007169072021482966,0.0001463380698491366,-0.00016767197807242144,0.00043777474570248006,0.00030272336188745075,student_t,24,0.0,0.0,,,,,
condition_comparison,HIGH_JITTER_MATCHED,0.012614537532138712,0.005918692567058656,0.0012081480611414346,0.010115292850945465,0.015113782213331959,0.0024992446811932466,student_t,24,7.291666666666667e-05,0.0,,,,,
condition_comparison,INDEPENDENT_IRREGULAR_FORCING,-1.9823853777425867e-05,0.003326152832908652,0.0006789481039282462,-0.0014243350160481755,0.0013846873084933237,0.0014045111622707496,student_t,24,0.0,0.0,,,,,
condition_comparison,LOW_JITTER_MATCHED,0.059315188700811594,0.01332400136168466,0.002719750389022973,0.053688956360119056,0.06494142104150413,0.005626232340692541,student_t,24,0.0008715277777777778,0.0,,,,,
condition_comparison,NEAR_DETUNED,0.0030785505619626958,0.0024684611903126445,0.0005038725305107648,0.002036210817040498,0.004120890306884894,0.001042339744922198,student_t,24,0.0,0.0,,,,,
condition_comparison,SHARED_IRREGULAR_FORCING,0.0036255196470384513,0.006155158975704369,0.0012564165646823055,0.001026423958651843,0.0062246153354250594,0.002599095688386608,student_t,24,0.0,0.0,,,,,
coupling_forcing_factorial,,0.11092367074571752,0.02711838556650296,0.005535517273832366,0.09947258080959809,0.12237476068183695,0.011451089936119428,student_t,24,,,1.0,1.0,,,
coupling_forcing_factorial,,0.12658856549173977,0.027911525532918997,0.0056974162915263225,0.11480256192054837,0.13837456906293116,0.0117860035711914,student_t,24,,,1.0,1.09,,,
coupling_forcing_factorial,,0.14179352551592028,0.030180862085724996,0.0061606426756114245,0.12904926515994433,0.15453778587189623,0.012744260355975943,student_t,24,,,1.0,1.18,,,
coupling_forcing_factorial,,0.12247390225017803,0.030753510224362162,0.006277533987429393,0.10948783379241797,0.13545997070793808,0.012986068457760049,student_t,24,,,1.07,1.0,,,
coupling_forcing_factorial,,0.13905393565554114,0.03214757207505628,0.0065620956711027745,0.1254792065052165,0.1526286648058658,0.01357472915032465,student_t,24,,,1.07,1.09,,,
coupling_forcing_factorial,,0.15563660467646315,0.031166722502623343,0.0063618805905287954,0.14247605197628851,0.16879715737663778,0.013160552700174624,student_t,24,,,1.07,1.18,,,
coupling_forcing_factorial,,0.13553031754214293,0.03344068254761792,0.006826050741004879,0.12140955572765659,0.14965107935662925,0.01412076181448633,student_t,24,,,1.14,1.0,,,
coupling_forcing_factorial,,0.15243343373982102,0.032734030766266554,0.006681806050159909,0.13861106480281368,0.16625580267682835,0.01382236893700734,student_t,24,,,1.14,1.09,,,
coupling_forcing_factorial,,0.1686460549509722,0.03422657843654419,0.006986471067573242,0.15419343840706431,0.1830986714948801,0.014452616543907884,student_t,24,,,1.14,1.18,,,
coupling_strength_scan,,0.05895350571024905,0.01512296188606277,0.003086961668367642,0.05256763896190844,0.06533937245858966,0.006385866748340606,student_t,24,,,,,0.35,,
coupling_strength_scan,,0.07502161640240053,0.020466924727089768,0.004177793515443482,0.06637919205191901,0.08366404075288204,0.008642424350481511,student_t,24,,,,,0.5,,
coupling_strength_scan,,0.09623997646530258,0.02472062218257063,0.005046075872618756,0.08580137320865786,0.1066785797219473,0.010438603256644731,student_t,24,,,,,0.65,,
coupling_strength_scan,,0.12944510377584717,0.033896001447265504,0.006918992322203385,0.11513207765209017,0.14375812989960418,0.014313026123756999,student_t,24,,,,,0.8,,
coupling_strength_scan,,0.16189576616236712,0.03475608809673674,0.007094556774352097,0.14721955729855363,0.1765719750261806,0.014676208863813484,student_t,24,,,,,0.95,,
coupling_strength_scan,,0.17412867161929468,0.03670919269591763,0.00749323258120845,0.15862773901353786,0.1896296042250515,0.015500932605756832,student_t,24,,,,,1.1,,
coupling_strength_scan,,0.15743723316446404,0.03757443177604087,0.007669848768859869,0.1415709421379989,0.17330352419092918,0.015866291026465137,student_t,24,,,,,1.25,,
coupling_strength_scan,,0.11036767293599907,0.033596286735049725,0.006857813312758905,0.09618120523572729,0.12455414063627085,0.014186467700271776,student_t,24,,,,,1.4,,
coupling_strength_scan,,0.0587894905359207,0.02010303143640286,0.004103514108526382,0.05030072484585567,0.06727825622598574,0.008488765690065039,student_t,24,,,,,1.55,,
jitter_scan,,0.11092367074588473,0.027118385566565307,0.005535517273845093,0.09947258080973898,0.12237476068203049,0.011451089936145756,student_t,24,,,,,,0.0,
jitter_scan,,0.08449299248000001,0.017260870951423597,0.0035233605289180184,0.07720436590760367,0.09178161905239636,0.007288626572396343,student_t,24,,,,,,0.05,
jitter_scan,,0.059315188700811594,0.01332400136168466,0.002719750389022973,0.053688956360119056,0.06494142104150413,0.005626232340692541,student_t,24,,,,,,0.1,
jitter_scan,,0.032674753078598164,0.011309879494056018,0.002308619484400335,0.02789900981263171,0.03745049634456461,0.004775743265966453,student_t,24,,,,,,0.2,
jitter_scan,,0.020684023497349154,0.00713000917852882,0.0014554070290630217,0.017673284670420557,0.02369476232427775,0.0030107388269285974,student_t,24,,,,,,0.35,
jitter_scan,,0.012614537532138712,0.005918692567058656,0.0012081480611414346,0.010115292850945465,0.015113782213331959,0.0024992446811932466,student_t,24,,,,,,0.5,
jitter_scan,,0.007915111502601865,0.006630174782287631,0.0013533787601727704,0.005115434230590968,0.010714788774612762,0.0027996772720108977,student_t,24,,,,,,0.75,
forcing_strength_scan,,0.0,0.0,0.0,0.0,0.0,0.0,student_t,24,,,,,,,0.0
forcing_strength_scan,,0.007563645000150197,0.009634244492920309,0.0019665819220728016,0.003495460340541775,0.011631829659758619,0.0040681846596084216,student_t,24,,,,,,,0.03
forcing_strength_scan,,0.03320685315544304,0.01628908591309022,0.003324995738619038,0.026328575416137864,0.040085130894748223,0.006878277739305179,student_t,24,,,,,,,0.06
forcing_strength_scan,,0.06982959161037827,0.022660353755909694,0.004625525341078255,0.06026096341137058,0.07939821980938597,0.009568628199007698,student_t,24,,,,,,,0.09
forcing_strength_scan,,0.11092367074571752,0.02711838556650296,0.005535517273832366,0.09947258080959809,0.12237476068183695,0.011451089936119428,student_t,24,,,,,,,0.12
forcing_strength_scan,,0.19580426738807413,0.029761559377019672,0.006075052868603517,0.1832370630377394,0.20837147173840886,0.012567204350334739,student_t,24,,,,,,,0.18
forcing_strength_scan,,0.2721411997761792,0.025282495931206957,0.005160767871287407,0.26146533804363437,0.282817061508724,0.010675861732544808,student_t,24,,,,,,,0.24
