condition,network,network_frequency_hz,stimulus_plv_mean,stimulus_plv_sd,stimulus_plv_sem,stimulus_plv_ci95_low,stimulus_plv_ci95_high,stimulus_plv_ci95_halfwidth,stimulus_plv_ci_method,n_blocks
CLEAN_MATCHED,network_10_00Hz,10.0,0.2529675038785512,0.07786712469963822,0.015894560270981874,0.2200871008097203,0.2858479069473821,0.03288040306883091,student_t,24
CLEAN_MATCHED,network_14_30Hz,14.3,0.2563952365859474,0.08624595649276377,0.01760488214879576,0.21997676314831058,0.2928137100235842,0.0364184734376368,student_t,24
CLEAN_MATCHED,network_20_80Hz,20.8,0.2532200697332103,0.07859126034510545,0.016042373840644848,0.2200338909985729,0.28640624846784773,0.033186178734637424,student_t,24
CLEAN_MATCHED,network_27_30Hz,27.3,0.26423724689733535,0.07548886160697094,0.015409099350054516,0.23236109625714185,0.29611339753752886,0.03187615064019349,student_t,24
CLEAN_MATCHED,network_33_80Hz,33.8,0.24027521996646936,0.08548103773320152,0.017448743760828247,0.20417974339338013,0.2763706965395586,0.036095476573089244,student_t,24
CLEAN_MATCHED,network_7_83Hz,7.83,0.21993801875590302,0.09565686621701569,0.019525876052113554,0.17954566666059926,0.26033037085120675,0.04039235209530375,student_t,24
FAR_DETUNED,network_10_00Hz,10.0,0.010245133031858386,0.0005199349817520332,0.00010613128372631369,0.010025583744074404,0.010464682319642368,0.00021954928778398215,student_t,24
FAR_DETUNED,network_14_30Hz,14.3,0.010080632347867434,0.00048331032349313027,9.865530666480353e-05,0.009876548296927063,0.010284716398807804,0.00020408405094037092,student_t,24
FAR_DETUNED,network_20_80Hz,20.8,0.01003268068195025,0.00041189992935827536,8.407872100135094e-05,0.009858750595876506,0.010206610768023995,0.00017393008607374452,student_t,24
FAR_DETUNED,network_27_30Hz,27.3,0.01022900008175058,0.000506915101563273,0.00010347361181176086,0.010014948607198634,0.010443051556302527,0.00021405147455194547,student_t,24
FAR_DETUNED,network_33_80Hz,33.8,0.010089288781195886,0.0004950888828332524,0.00010105959502216955,0.009880231080847408,0.010298346481544363,0.00020905770034847804,student_t,24
FAR_DETUNED,network_7_83Hz,7.83,0.010119778333110535,0.0005581979990519125,0.00011394168942664616,0.0098840719901341,0.010355484676086971,0.00023570634297643523,student_t,24
HIGH_JITTER_MATCHED,network_10_00Hz,10.0,0.027912331089495267,0.011902435211609943,0.0024295744137483237,0.0228863734884154,0.032938288690575135,0.005025957601079868,student_t,24
