analysis,natural_frequency_sd_hz,condition,network,network_frequency_hz,replicate,base_mean_R,stimulated_mean_R,delta_mean_R,coarse_dt_s,fine_dt_s,coarse_delta_mean_R,fine_delta_mean_R,fine_minus_coarse_delta_mean_R,absolute_delta_difference,stimulated_R_trace_rmse,scenario,n_oscillators,duration_s,baseline_delta_mean_R,delta_mean_R_minus_baseline
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,0,0.822367560838062,0.9130088980309368,0.09064133719287482,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,1,0.7879092457776751,0.9020432855075925,0.11413403972991742,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,2,0.9164704177266362,0.9464429172391567,0.029972499512520567,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,3,0.7337566282113603,0.8872653446179258,0.1535087164065655,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,4,0.8667396819692479,0.9186286385881058,0.05188895661885795,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,5,0.8876093156930329,0.9340315054753021,0.046422189782269196,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,6,0.910936946961059,0.9449384406644455,0.034001493703386565,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,7,0.7278565861527737,0.8534782716951802,0.1256216855424065,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,8,0.8521812706619171,0.897929909541076,0.04574863887915892,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,9,0.8506370169027987,0.9091252474859618,0.0584882305831631,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,10,0.8817125418965929,0.9213974733001822,0.03968493140358931,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,11,0.8388762560020918,0.9095725234763841,0.07069626747429225,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,12,0.8402118992805829,0.8997175325079784,0.05950563322739544,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,13,0.8748517168257479,0.8697372192791922,-0.005114497546555685,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,14,0.831017871297653,0.9017045873408331,0.07068671604318011,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,15,0.7548593744307602,0.8728847680679269,0.11802539363716669,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,16,0.8316223239978517,0.9168284987805236,0.0852061747826719,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,17,0.8126733653237824,0.8903788525189531,0.07770548719517067,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,18,0.8210260746288418,0.8983769645022512,0.07735088987340943,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,19,0.8141514425002006,0.8909544307486432,0.07680298824844267,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,20,0.8921665021362825,0.9282100909705111,0.036043588834228646,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,21,0.8190413601793174,0.8885668841743527,0.06952552399503531,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,22,0.7272931433698093,0.8840754468721657,0.15678230350235633,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_10_00Hz,10.0,23,0.7952744968722255,0.8855360674804685,0.09026157060824302,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,0,0.9025708307672179,0.9356199081737955,0.03304907740657759,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,1,0.7390857081311758,0.8762958644538228,0.137210156322647,,,,,,,,,,,,
frequency_dispersion_scan,0.3,CLEAN_MATCHED,network_14_30Hz,14.3,2,0.8279224286774916,0.901484698326583,0.0735622696490914,,,,,,,,,,,,
