analysis,natural_frequency_sd_hz,condition,delta_mean_R_mean,delta_mean_R_sd,delta_mean_R_sem,delta_mean_R_ci95_low,delta_mean_R_ci95_high,delta_mean_R_ci95_halfwidth,delta_mean_R_ci_method,n_blocks,metric,mean,sd,sem,ci95_low,ci95_high,ci95_halfwidth,ci_method,dt_s,scenario,delta_mean_R_minus_baseline_mean,delta_mean_R_minus_baseline_sd,delta_mean_R_minus_baseline_sem,delta_mean_R_minus_baseline_ci95_low,delta_mean_R_minus_baseline_ci95_high,delta_mean_R_minus_baseline_ci95_halfwidth,delta_mean_R_minus_baseline_ci_method
frequency_dispersion_scan,0.3,CLEAN_MATCHED,0.07687151852117853,0.014330530709479568,0.002925207331792462,0.07082026611221245,0.08292277093014461,0.0060512524089660754,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.3,FAR_DETUNED,-0.00023346374095280622,0.003261692848581743,0.0006657902647258522,-0.0016107558390208534,0.001143828357115241,0.0013772920980680472,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.3,HIGH_JITTER_MATCHED,0.0030335920458060828,0.010236782913731106,0.0020895745621902035,-0.0012890222748067337,0.007356206366418899,0.0043226143206128165,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.3,INDEPENDENT_IRREGULAR_FORCING,-0.0005605085650987041,0.004668360971872329,0.0009529251930175483,-0.002531784517794496,0.0014107673875970882,0.0019712759526957922,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.3,LOW_JITTER_MATCHED,0.006385307381135238,0.01774232597327159,0.0036216371237203612,-0.001106619817025041,0.013877234579295517,0.007491927198160279,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.3,NEAR_DETUNED,4.714733193678476e-05,0.0064305882138561265,0.0013126383224919152,-0.002668251923613809,0.002762546587487379,0.002715399255550594,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.3,SHARED_IRREGULAR_FORCING,0.00039275431988964926,0.008728013316764538,0.001781598257857477,-0.003292762474936539,0.004078271114715838,0.0036855167948261886,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.75,CLEAN_MATCHED,0.11092367074571752,0.02711838556650296,0.005535517273832366,0.09947258080959809,0.12237476068183695,0.011451089936119428,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.75,FAR_DETUNED,0.0001350513838150293,0.0007169072021482966,0.0001463380698491366,-0.00016767197807242144,0.00043777474570248006,0.00030272336188745075,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.75,HIGH_JITTER_MATCHED,0.012614537532138712,0.005918692567058656,0.0012081480611414346,0.010115292850945465,0.015113782213331959,0.0024992446811932466,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.75,INDEPENDENT_IRREGULAR_FORCING,-1.9823853777425867e-05,0.003326152832908652,0.0006789481039282462,-0.0014243350160481755,0.0013846873084933237,0.0014045111622707496,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.75,LOW_JITTER_MATCHED,0.059315188700811594,0.01332400136168466,0.002719750389022973,0.053688956360119056,0.06494142104150413,0.005626232340692541,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.75,NEAR_DETUNED,0.0030785505619626958,0.0024684611903126445,0.0005038725305107648,0.002036210817040498,0.004120890306884894,0.001042339744922198,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.75,SHARED_IRREGULAR_FORCING,0.0036255196470384513,0.006155158975704369,0.0012564165646823055,0.001026423958651843,0.0062246153354250594,0.002599095688386608,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.9,CLEAN_MATCHED,0.06419171606977758,0.019397049501906485,0.003959406149598124,0.05600106040567144,0.07238237173388372,0.008190655664106141,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.9,FAR_DETUNED,0.00023989537732092923,0.00032343533053094556,6.602096038243651e-05,0.00010332061517862745,0.000376470139463231,0.00013657476214230178,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.9,HIGH_JITTER_MATCHED,0.010369426674503718,0.005163072737081912,0.0010539078092271345,0.00818925226426594,0.012549601084741496,0.0021801744102377786,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.9,INDEPENDENT_IRREGULAR_FORCING,-0.0002808219467804384,0.003161617039857592,0.0006453623758116405,-0.0016158557369813067,0.0010542118434204298,0.0013350337902008683,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.9,LOW_JITTER_MATCHED,0.039917785280726405,0.009992124814910939,0.0020396339368944673,0.0356984810147007,0.044137089546752106,0.004219304266025705,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.9,NEAR_DETUNED,0.0041361654017285756,0.0018390533820360887,0.00037539519964400943,0.0033596012650702173,0.004912729538386933,0.0007765641366583582,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,0.9,SHARED_IRREGULAR_FORCING,0.002444773400529615,0.004720980506224403,0.0009636661104896677,0.00045127816716224005,0.00443826863389699,0.001993495233367375,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,1.2,CLEAN_MATCHED,0.02832663906116481,0.009948335747279376,0.0020306955308936714,0.024125825296737666,0.032527452825591954,0.004200813764427143,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,1.2,FAR_DETUNED,0.00028134883411700225,0.0001909269858788272,3.8972807794224664e-05,0.00020072743867408059,0.0003619702295599239,8.062139544292167e-05,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,1.2,HIGH_JITTER_MATCHED,0.006785037043017937,0.0032475429489833164,0.0006629019285652057,0.00541371992353006,0.008156354162505814,0.0013713171194878772,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,1.2,INDEPENDENT_IRREGULAR_FORCING,0.00021987983864744495,0.0014923173119127276,0.0003046179957089993,-0.0004102704964465734,0.0008500301737414634,0.0006301503350940184,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,1.2,LOW_JITTER_MATCHED,0.02051402107281464,0.005504288914035893,0.0011235582696871734,0.018189763707477012,0.022838278438152268,0.0023242573653376292,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,1.2,NEAR_DETUNED,0.0052884103498814445,0.0015320109951396398,0.00031272043486879977,0.004641498842356547,0.005935321857406342,0.000646911507524897,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,1.2,SHARED_IRREGULAR_FORCING,0.00123647473887322,0.0023576072860162153,0.0004812445720506339,0.00024094449242781802,0.002232004985318622,0.000995530246445402,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,1.5,CLEAN_MATCHED,0.0159871928394992,0.006977807817392441,0.0014243390563179218,0.013040723010830046,0.018933662668168354,0.0029464698286691547,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,1.5,FAR_DETUNED,0.0004026282764139453,7.968733469829166e-05,1.6266109081099625e-05,0.0003689792660714222,0.00043627728675646845,3.364901034252314e-05,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,1.5,HIGH_JITTER_MATCHED,0.00484092196330153,0.0031834816910444137,0.0006498254790459449,0.0034966555406289327,0.006185188385974128,0.0013442664226725979,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,1.5,INDEPENDENT_IRREGULAR_FORCING,-0.00025633043380851806,0.0012926398068230642,0.00026385899566052707,-0.0008021643532591942,0.00028950348564215804,0.0005458339194506761,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,1.5,LOW_JITTER_MATCHED,0.011750466468324054,0.004127163736098278,0.0008424537698632861,0.01000771806587015,0.013493214870777958,0.0017427484024539045,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,1.5,NEAR_DETUNED,0.005654130260229972,0.001686580446136265,0.00034427179193245483,0.004941949797796296,0.0063663107226636486,0.000712180462433676,student_t,24,,,,,,,,,,,,,,,,,
frequency_dispersion_scan,1.5,SHARED_IRREGULAR_FORCING,0.0012941699594209448,0.0019541331284385955,0.00039888575451192855,0.0004690119076620994,0.00211932801117979,0.0008251580517588454,student_t,24,,,,,,,,,,,,,,,,,
paired_time_step_convergence,,,,,,,,,,24,coarse_delta_mean_R,0.1089306019588442,0.0290133223092036,0.005922319616704715,0.09667935041241398,0.12118185350527443,0.01225125154643023,student_t,0.005,,,,,,,,
paired_time_step_convergence,,,,,,,,,,24,fine_delta_mean_R,0.10996894733066875,0.029038365024666054,0.005927431439592775,0.09770712117291802,0.12223077348841949,0.01226182615775073,student_t,0.0025,,,,,,,,
paired_time_step_convergence,,,,,,,,,,24,fine_minus_coarse_delta_mean_R,0.0010383453718245392,0.0011489499571337531,0.00023452842791419173,0.0005531863545602312,0.0015235043890888473,0.00048515901726430797,student_t,,,,,,,,,
paired_time_step_convergence,,,,,,,,,,24,absolute_delta_difference,0.0018089234699589108,0.0009720619196064453,0.00019842130845217618,0.0013984577201600111,0.0022193892197578105,0.0004104657497988998,student_t,,,,,,,,,
paired_time_step_convergence,,,,,,,,,,24,stimulated_R_trace_rmse,0.009772144334811656,0.003932185741471713,0.0008026540533711023,0.008111727918771829,0.011432560750851483,0.001660416416039828,student_t,,,,,,,,,
