K_cycles_per_s,analysis,ci95_halfwidth,ci95_high,ci95_low,condition,mean,metric,n,phase_offset_deg,sd,sem
,external_driver_phase_disruption,0.007883915439381332,0.1826219392957769,0.16685410841701426,,0.17473802385639559,delta_intervention_driver_locking_plv,24,0,0.018670629595220985,0.003811126307066487
,external_driver_phase_disruption,0.006933040054674709,0.16521894297908424,0.15135286286973482,,0.15828590292440953,delta_intervention_mean_R1,24,0,0.01641877361888852,0.0033514681307122065
,external_driver_phase_disruption,0.008161044482271123,0.05206790078656409,0.03574581182202184,,0.04390685630429297,delta_intervention_mean_R2,24,0,0.019326924522488676,0.003945091948115057
,external_driver_phase_disruption,0.004030968458345518,0.004316243050565816,-0.0037456938661252193,,0.0002852745922202987,delta_intervention_mean_R4,24,0,0.009546109363356389,0.001948591414085661
,external_driver_phase_disruption,0.007637435191101381,0.17202655163460448,0.15675168125240171,,0.1643891164435031,delta_intervention_driver_locking_plv,24,30,0.018086916914186166,0.0036919764549892156
,external_driver_phase_disruption,0.006746440053496148,0.15505079034333383,0.14155791023634154,,0.14830435028983768,delta_intervention_mean_R1,24,30,0.015976868891312435,0.0032612647059217883
,external_driver_phase_disruption,0.007824083927774023,0.048026652691001814,0.032378484835453775,,0.040202568763227794,delta_intervention_mean_R2,24,30,0.01852893705679494,0.003782203438774528
,external_driver_phase_disruption,0.0038445068960914156,0.004934727989593054,-0.002754285802589777,,0.0010902210935016384,delta_intervention_mean_R4,24,30,0.009104532485806092,0.0018584549114015211
,external_driver_phase_disruption,0.005924126664986512,0.13647825037505273,0.12462999704507971,,0.13055412371006622,delta_intervention_driver_locking_plv,24,60,0.014029472473110966,0.0028637540766286887
,external_driver_phase_disruption,0.005514444063258621,0.12221249415014357,0.11118360602362631,,0.11669805008688494,delta_intervention_mean_R1,24,60,0.013059265198910657,0.0026657113460847484
,external_driver_phase_disruption,0.007127565350622086,0.03649351615846502,0.02223838545722085,,0.029365950807842937,delta_intervention_mean_R2,24,60,0.016879446970278402,0.003445502684795795
,external_driver_phase_disruption,0.003466981344298197,0.003219387530499082,-0.0037145751580973125,,-0.0002475938137991153,delta_intervention_mean_R4,24,60,0.008210479296821645,0.0016759570684081885
,external_driver_phase_disruption,0.004818852206826205,0.079633792078964,0.06999608766531158,,0.07481493987213779,delta_intervention_driver_locking_plv,24,90,0.011411969765472967,0.0023294585737898155
,external_driver_phase_disruption,0.005258052783993767,0.07068524728164796,0.060169141713660425,,0.06542719449765419,delta_intervention_mean_R1,24,90,0.012452081288402531,0.0025417704493536954
,external_driver_phase_disruption,0.004323820451028509,0.019575744333909323,0.010928103431852307,,0.015251923882880816,delta_intervention_mean_R2,24,90,0.010239639262763268,0.0020901576119948776
,external_driver_phase_disruption,0.002451480116183116,0.002787262332264751,-0.002115697900101481,,0.0003357822160816349,delta_intervention_mean_R4,24,90,0.00580557688133905,0.0011850584184815963
,external_driver_phase_disruption,0.002075854413001543,-0.0008941747330835927,-0.005045883559086679,,-0.0029700291460851356,delta_intervention_driver_locking_plv,24,120,0.004916022899631464,0.0010034789723278742
,external_driver_phase_disruption,0.0016972246317787803,0.001991871429591264,-0.0014025778339662965,,0.0002946467978124838,delta_intervention_mean_R1,24,120,0.004019354682768335,0.0008204473390040477
,external_driver_phase_disruption,0.0011593406725215808,0.0017817941073283651,-0.0005368872377147965,,0.0006224534348067842,delta_intervention_mean_R2,24,120,0.002745541912233321,0.0005604313960330694
,external_driver_phase_disruption,0.0008417933821250041,0.001379434955708375,-0.0003041518085416332,,0.000537641573583371,delta_intervention_mean_R4,24,120,0.0019935287934287637,0.00040692736095389017
,external_driver_phase_disruption,0.007419125618239718,-0.09793794168256985,-0.11277619291904929,,-0.10535706730080957,delta_intervention_driver_locking_plv,24,150,0.017569917816043775,0.0035864444559952206
,external_driver_phase_disruption,0.007859069708181989,-0.05947385298687067,-0.07519199240323465,,-0.06733292269505266,delta_intervention_mean_R1,24,150,0.018611790120367133,0.003799115749556049
,external_driver_phase_disruption,0.0034837058093512667,-0.0033846766581284706,-0.010352088276831005,,-0.006868382467479737,delta_intervention_mean_R2,24,150,0.008250086049910892,0.0016840417630279432
,external_driver_phase_disruption,0.0019530701398154183,0.003833017116243979,-7.312316338685745e-05,,0.0018799469764285608,delta_intervention_mean_R4,24,150,0.0046252461019345515,0.0009441244070447135
,external_driver_phase_disruption,0.013701499391973498,-0.1842750505782148,-0.21167804936216178,,-0.1979765499701883,delta_intervention_driver_locking_plv,24,180,0.03244778841346339,0.0066233770745647855
,external_driver_phase_disruption,0.013065334559243276,-0.08478825624960953,-0.11091892536809608,,-0.09785359080885281,delta_intervention_mean_R1,24,180,0.03094122761321922,0.00631585163897501
,external_driver_phase_disruption,0.0044078737280795885,-0.0035389606886388402,-0.012354708144798016,,-0.007946834416718429,delta_intervention_mean_R2,24,180,0.010438693605006232,0.002130789409459927
,external_driver_phase_disruption,0.0019113963253624621,0.0024893907178379793,-0.001333401932886945,,0.0005779943924755173,delta_intervention_mean_R4,24,180,0.004526554486143684,0.0009239790653298445
,external_driver_phase_disruption,0.007080832984855272,-0.1008227922155614,-0.11498445818527195,,-0.10790362520041667,delta_intervention_driver_locking_plv,24,210,0.01676877573108903,0.0034229120126945058
,external_driver_phase_disruption,0.007452607958829308,-0.061842719666848206,-0.07674793558450682,,-0.06929532762567751,delta_intervention_mean_R1,24,210,0.017649210444679365,0.0036026299960386535
,external_driver_phase_disruption,0.0034735590770502258,-0.0041698012557604,-0.011116919409860851,,-0.0076433603328106255,delta_intervention_mean_R2,24,210,0.008226056634343053,0.001679136779114735
,external_driver_phase_disruption,0.002003225702301702,0.0032667153319269632,-0.000739736072676441,,0.001263489629625261,delta_intervention_mean_R4,24,210,0.004744024129999608,0.0009683698704958275
,external_driver_phase_disruption,0.002443695721197903,-0.002204544205151908,-0.007091935647547714,,-0.004648239926349811,delta_intervention_driver_locking_plv,24,240,0.005787141935339273,0.001181295400886995
,external_driver_phase_disruption,0.0018981597715790632,0.0009324485718010706,-0.0028638709713570557,,-0.0009657111997779926,delta_intervention_mean_R1,24,240,0.004495207778444032,0.0009175804454148177
,external_driver_phase_disruption,0.001000429196501496,3.914041744320143e-05,-0.0019617179755597905,,-0.0009612887790582946,delta_intervention_mean_R2,24,240,0.00236920894290943,0.0004836127503472355
,external_driver_phase_disruption,0.0008764922544688234,0.0007344704270871382,-0.0010185140818505085,,-0.00014202182738168515,delta_intervention_mean_R4,24,240,0.0020757024034686686,0.00042370097886390784
,external_driver_phase_disruption,0.0038005405790723723,0.07832683578103986,0.0707257546228951,,0.07452629520196748,delta_intervention_driver_locking_plv,24,270,0.009000411782579341,0.0018372013618544133
,external_driver_phase_disruption,0.004311986086628204,0.06964424854714049,0.06102027637388408,,0.06533226246051228,delta_intervention_mean_R1,24,270,0.010211613209476438,0.002084436817823479
,external_driver_phase_disruption,0.004372939143429774,0.018985984608041323,0.010240106321181773,,0.014613045464611547,delta_intervention_mean_R2,24,270,0.010355961782845702,0.0021139018469779284
,external_driver_phase_disruption,0.002131756044256469,0.0015338331159059217,-0.0027296789726070163,,-0.0005979229283505472,delta_intervention_mean_R4,24,270,0.005048408724790855,0.0010305021157293586
,external_driver_phase_disruption,0.0059242283428906795,0.13667537457662868,0.12482691789084731,,0.13075114623373799,delta_intervention_driver_locking_plv,24,300,0.014029713265963369,0.002863803228263863
,external_driver_phase_disruption,0.005441691652209552,0.1224838766128817,0.1116004933084626,,0.11704218496067215,delta_intervention_mean_R1,24,300,0.012886973483036671,0.002630542446851428
,external_driver_phase_disruption,0.0067415281164787556,0.036080112610948976,0.022597056377991462,,0.02933858449447022,delta_intervention_mean_R2,24,300,0.015965236478794578,0.0032588902496595955
,external_driver_phase_disruption,0.0032797727140233828,0.00310318879918667,-0.0034563566288600953,,-0.0001765839148367126,delta_intervention_mean_R4,24,300,0.007767133218370552,0.0015854594291024305
,external_driver_phase_disruption,0.0074246710475401306,0.17196366062991958,0.15711431853483931,,0.16453898958237945,delta_intervention_driver_locking_plv,24,330,0.017583050460249636,0.0035891251457683773
,external_driver_phase_disruption,0.0067865282489818265,0.15536225029974318,0.14178919380177954,,0.14857572205076136,delta_intervention_mean_R1,24,330,0.016071805456120726,0.0032806435510645366
,external_driver_phase_disruption,0.007757998848283756,0.04760287232611425,0.032086874629546736,,0.03984487347783049,delta_intervention_mean_R2,24,330,0.018372434865666625,0.0037502575627835367
,external_driver_phase_disruption,0.003781410102250091,0.004449663415167775,-0.003113156789332407,,0.0006682533129176841,delta_intervention_mean_R4,24,330,0.008955107130408084,0.0018279535884549254
,external_driver_phase_disruption,0.007883915439380435,0.18262193929577344,0.16685410841701256,,0.174738023856393,delta_intervention_driver_locking_plv,24,360,0.018670629595218858,0.003811126307066053
,external_driver_phase_disruption,0.006933040054674222,0.16521894297908277,0.15135286286973434,,0.15828590292440856,delta_intervention_mean_R1,24,360,0.01641877361888737,0.0033514681307119714
,external_driver_phase_disruption,0.008161044482272561,0.05206790078656214,0.03574581182201702,,0.04390685630428958,delta_intervention_mean_R2,24,360,0.01932692452249208,0.003945091948115752
,external_driver_phase_disruption,0.004030968458345465,0.004316243050567989,-0.003745693866122941,,0.00028527459222252375,delta_intervention_mean_R4,24,360,0.009546109363356262,0.001948591414085635
,internal_closed_loop_phase_disruption,nan,nan,nan,,nan,delta_intervention_driver_locking_plv,0,0,nan,nan
,internal_closed_loop_phase_disruption,0.009911810932895667,0.1457991975340691,0.12597557566827777,,0.13588738660117344,delta_intervention_mean_R1,24,0,0.023473076540313425,0.004791421684755182
,internal_closed_loop_phase_disruption,0.005221736216639819,0.0175759532381532,0.007132480804873563,,0.012354217021513382,delta_intervention_mean_R2,24,0,0.012366076665135204,0.002524214829143258
,internal_closed_loop_phase_disruption,0.002017517999558707,0.001910230299557507,-0.002124805699559907,,-0.00010728770000119987,delta_intervention_mean_R4,24,0,0.004777871041499621,0.0009752788423745086
,internal_closed_loop_phase_disruption,nan,nan,nan,,nan,delta_intervention_driver_locking_plv,0,30,nan,nan
,internal_closed_loop_phase_disruption,0.00980228667293369,0.129972074156669,0.11036750081080161,,0.1201697874837353,delta_intervention_mean_R1,24,30,0.023213702006788337,0.004738477079804443
,internal_closed_loop_phase_disruption,0.004869688652568543,0.01581550947468787,0.006076132169550785,,0.010945820822119328,delta_intervention_mean_R2,24,30,0.011532360256174021,0.002354033179798221
,internal_closed_loop_phase_disruption,0.001422904196371745,0.0011615844764463683,-0.0016842239162971218,,-0.00026131971992537673,delta_intervention_mean_R4,24,30,0.003369711078741246,0.0006878393936266267
,internal_closed_loop_phase_disruption,nan,nan,nan,,nan,delta_intervention_driver_locking_plv,0,60,nan,nan
,internal_closed_loop_phase_disruption,0.005495227176036441,0.07622691982136796,0.06523646546929508,,0.07073169264533152,delta_intervention_mean_R1,24,60,0.013013755910276453,0.002656421801442178
,internal_closed_loop_phase_disruption,0.002648060784339974,0.005163676551328777,-0.00013244501735117055,,0.0025156157669888033,delta_intervention_mean_R2,24,60,0.00627111774982733,0.0012800865503322975
,internal_closed_loop_phase_disruption,0.0014710651529338435,0.001512493629805523,-0.001429636676062164,,4.1428476871679606e-05,delta_intervention_mean_R4,24,60,0.003483765495970387,0.0007111206540534512
,internal_closed_loop_phase_disruption,nan,nan,nan,,nan,delta_intervention_driver_locking_plv,0,90,nan,nan
,internal_closed_loop_phase_disruption,0.0036934654387660625,0.011472094651501563,0.004085163773969439,,0.0077786292127355015,delta_intervention_mean_R1,24,90,0.008746837235910649,0.0017854406742630919
,internal_closed_loop_phase_disruption,0.0018000413718981668,0.0015846655388151358,-0.002015417204981198,,-0.00021537583308303102,delta_intervention_mean_R2,24,90,0.004262844517954568,0.0008701494934841014
,internal_closed_loop_phase_disruption,0.0010620675962898665,0.0017162595442706196,-0.00040787564830911346,,0.0006541919479807531,delta_intervention_mean_R4,24,90,0.0025151805404156967,0.0005134090779163417
,internal_closed_loop_phase_disruption,nan,nan,nan,,nan,delta_intervention_driver_locking_plv,0,120,nan,nan
,internal_closed_loop_phase_disruption,0.004469882421191734,-0.05421366780982308,-0.06315343265220655,,-0.05868355023101481,delta_intervention_mean_R1,24,120,0.010585542128393166,0.0021607647387748563
,internal_closed_loop_phase_disruption,0.0015301430743413483,0.0006046205026917153,-0.0024556656459909813,,-0.0009255225716496329,delta_intervention_mean_R2,24,120,0.003623673387719877,0.0007396792328680175
,internal_closed_loop_phase_disruption,0.0009900583924642638,0.0010060073065007765,-0.0009741094784277511,,1.5948914036512738e-05,delta_intervention_mean_R4,24,120,0.0023446488823313347,0.0004785994489748873
,internal_closed_loop_phase_disruption,nan,nan,nan,,nan,delta_intervention_driver_locking_plv,0,150,nan,nan
,internal_closed_loop_phase_disruption,0.004135552645572215,-0.09290141170225229,-0.10117251699339673,,-0.09703696434782451,delta_intervention_mean_R1,24,150,0.009793784853566889,0.001999147961819779
,internal_closed_loop_phase_disruption,0.0018469243272688837,0.00015881478233318604,-0.003535033872204581,,-0.0016881095449356976,delta_intervention_mean_R2,24,150,0.004373872382317941,0.0008928129613942018
,internal_closed_loop_phase_disruption,0.0009827493925969428,0.0008344709677725739,-0.0011310278174213116,,-0.00014827842482436886,delta_intervention_mean_R4,24,150,0.0023273397634952023,0.00047506623988774385
,internal_closed_loop_phase_disruption,nan,nan,nan,,nan,delta_intervention_driver_locking_plv,0,180,nan,nan
,internal_closed_loop_phase_disruption,0.003932218243279607,-0.1026652101789124,-0.11052964666547162,,-0.10659742842219201,delta_intervention_mean_R1,24,180,0.00931224984239624,0.0019008550392653214
