ci95_halfwidth,ci95_high,ci95_low,contrast,mean,n,sd,sem
0.013701499391973498,-0.1842750505782148,-0.21167804936216178,external_driver_phase_disruption_180__delta_intervention_driver_locking_plv,-0.1979765499701883,24,0.03244778841346339,0.0066233770745647855
0.013065334559243276,-0.08478825624960953,-0.11091892536809608,external_driver_phase_disruption_180__delta_intervention_mean_R1,-0.09785359080885281,24,0.03094122761321922,0.00631585163897501
0.0044078737280795885,-0.0035389606886388402,-0.012354708144798016,external_driver_phase_disruption_180__delta_intervention_mean_R2,-0.007946834416718429,24,0.010438693605006232,0.002130789409459927
0.0019113963253624621,0.0024893907178379793,-0.001333401932886945,external_driver_phase_disruption_180__delta_intervention_mean_R4,0.0005779943924755173,24,0.004526554486143684,0.0009239790653298445
0.003932218243279607,-0.1026652101789124,-0.11052964666547162,internal_closed_loop_phase_disruption_180__delta_intervention_mean_R1,-0.10659742842219201,24,0.00931224984239624,0.0019008550392653214
0.0019945868440521355,0.00018452360273566479,-0.003804650085368606,internal_closed_loop_phase_disruption_180__delta_intervention_mean_R2,-0.0018100632413164707,24,0.004723565650486041,0.0009641938008523758
0.0009020591588784012,0.0008718721792079578,-0.0009322461385488446,internal_closed_loop_phase_disruption_180__delta_intervention_mean_R4,-3.018697967044337e-05,24,0.0021362497553267584,0.0004360601553079974
0.012513670736732077,0.10943420915098998,0.08440686767752581,matched_driver_minus_no_driver__test_mean_R1,0.09692053841425789,24,0.029634781473558622,0.006049174437425234
0.001501987383326927,0.003460899420363964,0.0004569246537101102,matched_driver_minus_no_driver__test_lock_fraction,0.0019589120370370372,24,0.003556995290780649,0.0007260686233246057
0.011419702316920863,0.02572525787247642,0.0028858532386346943,matched_driver_minus_no_driver__test_longest_lock_run_s,0.014305555555555557,24,0.027044053641403287,0.005520344333157951
0.0026243717142877977,0.0032683684776798967,-0.0019803749508956986,matched_driver_minus_no_driver__post_driver_recovery_mean_R1,0.0006439967633920992,24,0.006215017471253803,0.001268635128921203
0.00036498909166261215,0.0034917370714140474,0.0027617588880888234,near_detuned_driver_minus_no_driver__test_mean_R1,0.0031267479797514354,24,0.0008643644378387125,0.0001764376520427062
9.622351791494444e-05,0.00020473046235938887,1.2283426529499997e-05,near_detuned_driver_minus_no_driver__test_lock_fraction,0.00010850694444444444,24,0.00022787581565943555,4.651495609051148e-05
0.0011692814623183339,0.002454003684540556,0.00011544075990388815,near_detuned_driver_minus_no_driver__test_longest_lock_run_s,0.001284722222222222,24,0.0027690836163023454,0.0005652368262534621
0.0008171535071523187,0.00048208043341459964,-0.0011522265808900376,near_detuned_driver_minus_no_driver__post_driver_recovery_mean_R1,-0.000335073073737719,24,0.0019351768257516895,0.0003950163154292061
5.6468980880329205e-05,0.00029717213009870135,0.0001842341683380429,far_detuned_driver_minus_no_driver__test_mean_R1,0.00024070314921837213,24,0.00013372941830017604,2.7297403202886856e-05
3.534031756710999e-05,5.704170645599887e-05,-1.3638928678221113e-05,far_detuned_driver_minus_no_driver__test_lock_fraction,2.1701388888888876e-05,24,8.369267582159275e-05,1.7083695914255762e-05
0.0004240838108053194,0.0006845004774719863,-0.00016366714413865245,far_detuned_driver_minus_no_driver__test_longest_lock_run_s,0.00026041666666666693,24,0.0010043121098591119,0.00020500435097106892
0.00042451347745472366,0.0003979943167822099,-0.00045103263812723744,far_detuned_driver_minus_no_driver__post_driver_recovery_mean_R1,-2.6519160672513798e-05,24,0.0010053296432055978,0.00020521205409566537
0.001987316861879165,0.0056271524640805655,0.0016525187403222358,jittered_driver_minus_no_driver__test_mean_R1,0.003639835602201401,24,0.004706348933061932,0.0009606794531244799
4.2288463656431844e-05,3.650142661939479e-05,-4.80755006934689e-05,jittered_driver_minus_no_driver__test_lock_fraction,-5.787037037037056e-06,24,0.00010014722343878427,2.0442466381793098e-05
0.0005074615638771813,0.0004380171194327373,-0.0005769060083216254,jittered_driver_minus_no_driver__test_longest_lock_run_s,-6.944444444444405e-05,24,0.0012017666812654095,0.0002453095965815168
0.0016934611184391962,0.002736606846570587,-0.0006503153903078054,jittered_driver_minus_no_driver__post_driver_recovery_mean_R1,0.0010431457281313908,24,0.004010441958617458,0.0008186280368050619
