analysis,ci95_halfwidth,ci95_high,ci95_low,mean,metric,n,scan_value,sd,sem
delay_scan,0.003932218243279607,-0.1026652101789124,-0.11052964666547162,-0.10659742842219201,delta_intervention_mean_R1,24,0.0,0.00931224984239624,0.0019008550392653214
delay_scan,nan,nan,nan,nan,delta_intervention_driver_locking_plv,0,0.0,nan,nan
delay_scan,0.004225402996397765,-0.0943633141734836,-0.10281412016627912,-0.09858871716988137,delta_intervention_mean_R1,24,0.0625,0.010006567782577622,0.0020425820953240414
delay_scan,nan,nan,nan,nan,delta_intervention_driver_locking_plv,0,0.0625,nan,nan
delay_scan,0.004241144091373721,-0.06890828361246244,-0.07739057179520988,-0.07314942770383616,delta_intervention_mean_R1,24,0.125,0.010043845726002941,0.002050191423661739
delay_scan,nan,nan,nan,nan,delta_intervention_driver_locking_plv,0,0.125,nan,nan
delay_scan,0.004152202723069968,0.0022191984572265356,-0.006085206988913401,-0.0019330042658434329,delta_intervention_mean_R1,24,0.25,0.009833215442603833,0.0020071966971029367
delay_scan,nan,nan,nan,nan,delta_intervention_driver_locking_plv,0,0.25,nan,nan
delay_scan,0.008456667122263926,0.11276232312951369,0.09584898888498584,0.10430565600724977,delta_intervention_mean_R1,24,0.375,0.020027015848138423,0.0040879974915476016
delay_scan,nan,nan,nan,nan,delta_intervention_driver_locking_plv,0,0.375,nan,nan
delay_scan,0.010439442998594556,0.14169469533008958,0.12081580933290045,0.13125525233149501,delta_intervention_mean_R1,24,0.5,0.024722610853177427,0.005046481808306516
delay_scan,nan,nan,nan,nan,delta_intervention_driver_locking_plv,0,0.5,nan,nan
jitter_scan,nan,nan,nan,nan,delta_intervention_mean_R1,0,0.0,nan,nan
jitter_scan,0.013701499391973498,-0.1842750505782148,-0.21167804936216178,-0.1979765499701883,delta_intervention_driver_locking_plv,24,0.0,0.03244778841346339,0.0066233770745647855
jitter_scan,nan,nan,nan,nan,delta_intervention_mean_R1,0,0.05,nan,nan
jitter_scan,0.013386008245491523,-0.1821900163554423,-0.20896203284642534,-0.19557602460093382,delta_intervention_driver_locking_plv,24,0.05,0.03170064463930353,0.006470866990299045
jitter_scan,nan,nan,nan,nan,delta_intervention_mean_R1,0,0.1,nan,nan
jitter_scan,0.012613730763674676,-0.1731370255617134,-0.19836448708906274,-0.18575075632538807,delta_intervention_driver_locking_plv,24,0.1,0.02987174288121163,0.00609754398221536
jitter_scan,nan,nan,nan,nan,delta_intervention_mean_R1,0,0.2,nan,nan
jitter_scan,0.01110488307625484,-0.1288326207920916,-0.1510423869446013,-0.13993750386834644,delta_intervention_driver_locking_plv,24,0.2,0.026298501069572898,0.005368159051707605
jitter_scan,nan,nan,nan,nan,delta_intervention_mean_R1,0,0.35,nan,nan
jitter_scan,0.0033898197056261817,-0.0617124917712273,-0.06849213118247967,-0.06510231147685348,delta_intervention_driver_locking_plv,24,0.35,0.008027745681058952,0.0016386567252854884
jitter_scan,nan,nan,nan,nan,delta_intervention_mean_R1,0,0.5,nan,nan
jitter_scan,0.002568072760670803,-0.01950319420300347,-0.024639339724345073,-0.02207126696367427,delta_intervention_driver_locking_plv,24,0.5,0.0060816907102473556,0.00124141991779422
jitter_scan,nan,nan,nan,nan,delta_intervention_mean_R1,0,0.75,nan,nan
jitter_scan,0.0012179330043348444,-0.0010221172920575653,-0.0034579833007272543,-0.0022400502963924097,delta_intervention_driver_locking_plv,24,0.75,0.0028842998343365004,0.0005887552382765398
