k_base_cycles_per_s,transient_boost_cycles_per_s,driver_increment_mean_R1_post_mean,transient_increment_mean_R1_post_mean,both_increment_mean_R1_post_mean,both_minus_best_single_mean_R1_post_mean,both_minus_best_single_mean_R2_post_mean,both_minus_best_single_mean_R4_post_mean,both_minus_best_single_lock_fraction_post_mean,both_minus_best_single_time_to_sustained_lock_post_s_mean,synergy_mean_R1_post_mean,synergy_mean_R2_post_mean,synergy_mean_R4_post_mean,synergy_lock_fraction_post_mean,synergy_time_to_sustained_lock_post_s_mean,driver_only_driver_locking_plv_post_mean,transient_plus_driver_driver_locking_plv_post_mean,both_minus_driver_only_driver_locking_plv_post_mean,strict_subthreshold_ignition_candidate_mean
0.35,0.0,0.05268228377873404,0.0,0.05268228377873404,-0.00013659514030243052,-0.003832274822054511,-0.0032653265989620543,0.0,,0.0,0.0,0.0,0.0,,0.13869150682795514,0.13869150682795514,0.0,0.0
0.35,0.1,0.05268228377873404,0.0004728231153107658,0.05360690067560133,0.0007812247472009839,-0.004067284888786896,-0.0035224225665190095,0.0,,0.00045179378155652986,-8.98699361096881e-05,-0.00011546903332802562,0.0,,0.13869150682795514,0.13971829754798862,0.0010267907200334884,0.0
0.35,0.2,0.05268228377873404,0.0009969791597204865,0.054623751943393535,0.001790660600942973,-0.004291720953113083,-0.00352296985633972,0.0,,0.0009444890049390099,-0.00016776306961729668,-3.6068352263273416e-05,0.0,,0.13869150682795514,0.14075220236335353,0.0020606955353983944,0.0
0.35,0.3,0.05268228377873404,0.0015819891768296228,0.05584735273441415,0.003006306677900352,-0.00447004764134985,-0.003543435162462976,0.0,,0.0015830797788504941,-0.00020308666030349046,1.772274092789062e-05,0.0,,0.13869150682795514,0.14191814202348604,0.003226635195530921,0.0
0.35,0.45,0.05268228377873404,0.0025805018670250635,0.057839573479898515,0.0049807984655991155,-0.004622320556573687,-0.0038876311214384855,6.944444444444444e-05,,0.00257678783413942,-0.000202416717368472,-9.117971252849812e-05,6.944444444444444e-05,,0.13869150682795514,0.14376583724932926,0.005074330421374146,0.006944444444444444
0.35,0.6,0.05268228377873404,0.003761301431198738,0.05981949944771379,0.006857434273593743,-0.004515228445993218,-0.004075137086959539,0.000625,,0.0033759142377810213,-1.9843620023978485e-05,2.1038107543213363e-05,0.000625,,0.13869150682795514,0.14579366649273617,0.007102159664781058,0.027777777777777776
0.5,0.0,0.06533118857356067,0.0,0.06533118857356067,-0.00021390938940939175,-0.003833792262523184,-0.003763766086174569,0.0,,0.0,0.0,0.0,0.0,,0.1668117873965512,0.1668117873965512,0.0,0.0
0.5,0.1,0.06533118857356067,0.0007047901504601429,0.06654714146632824,0.000993871267032082,-0.003785420381993009,-0.004281383866340026,0.0,,0.00051116274230743,0.00016120615246422026,-0.0002846425212660101,0.0,,0.1668117873965512,0.16814499747258513,0.0013332100760339114,0.0
0.5,0.2,0.06533118857356067,0.0014885913221541556,0.06792865445171463,0.002346415163936351,-0.0038601195473033337,-0.004389787579461734,8.101851851851853e-05,,0.0011088745559998045,0.0002909975182795465,-0.0001380943188136075,8.101851851851853e-05,,0.1668117873965512,0.16961288669216343,0.0028010992956122287,0.006944444444444444
0.5,0.3,0.06533118857356067,0.002340083585859094,0.06953088887536983,0.0038923967015230105,-0.004000151786866273,-0.004763621754463147,0.00011574074074074075,,0.0018596167159500774,0.00034601006607888027,-0.00030375625055552763,0.00011574074074074075,,0.1668117873965512,0.17120356887413948,0.004391781477588268,0.006944444444444444
0.5,0.45,0.06533118857356067,0.003729149812463276,0.07261757286175709,0.006909444907027401,-0.0038591720517884447,-0.0046661723963208656,0.00044753086419753083,,0.0035572344757331593,0.0007018071133194434,0.00011060045857488366,0.00044753086419753083,,0.1668117873965512,0.17405845709770426,0.007246669701153022,0.020833333333333332
0.5,0.6,0.06533118857356067,0.005323394694578179,0.07617441058719131,0.01038639804556678,-0.00391500789950336,-0.004555029509952323,0.0013503086419753086,,0.005519827319052463,0.0008189968234985738,0.00024418506341431265,0.0013503086419753086,,0.1668117873965512,0.17736997633455784,0.010558188938006613,0.05555555555555555
0.65,0.0,0.08844764212939411,0.0,0.08844764212939411,-0.00011351363257912697,-0.004205500870806007,-0.0041865210104298925,0.0,,0.0,0.0,0.0,0.0,,0.21217506122061355,0.21217506122061355,0.0,0.0
0.65,0.1,0.08844764212939411,0.0009841187235527548,0.0910689572309273,0.0024998139939624094,-0.00402989374273138,-0.0041056009901997955,0.00015817901234567905,,0.001637196377980442,0.0003748686431312863,0.0002948053959079849,0.00015817901234567905,,0.21217506122061355,0.21482614985139845,0.0026510886307848733,0.006944444444444444
0.65,0.2,0.08844764212939411,0.0017910078535529114,0.09329965362289461,0.004719159394650073,-0.0036951748125777333,-0.00455615859571817,5.787037037037038e-05,,0.0030610036399475737,0.000997372625322428,-3.088413159004752e-05,5.787037037037038e-05,,0.21217506122061355,0.21684196106575185,0.004666899845138265,0.013888888888888888
0.65,0.3,0.08844764212939411,0.00300050486505906,0.0958147527470044,0.007220636110543982,-0.0032725927690282625,-0.004487291211438267,0.0011496913580246915,,0.004366605752551229,0.001504616188852785,0.00019357251984329684,0.0011496913580246915,,0.21217506122061355,0.21932633883205688,0.007151277611443324,0.05555555555555555
0.65,0.45,0.08844764212939411,0.005356515757620142,0.10014521479270595,0.011460117972647689,-0.0023802185697645033,-0.004757809334471968,0.004201388888888889,,0.0063410569056917025,0.002723788762798732,0.00027420587896700353,0.004201388888888889,,0.21217506122061355,0.22350954310687388,0.011334481886260324,0.11805555555555554
0.65,0.6,0.08844764212939411,0.008202859554464316,0.10475918986537973,0.015994812385014153,-0.0010849802963148034,-0.004667503377820856,0.010123456790123457,,0.008108688181521285,0.004198021677574483,0.000824657540819726,0.010015432098765433,,0.21217506122061355,0.22817878406570102,0.016003722845087436,0.2222222222222222
0.8,0.0,0.1229287345737165,0.0,0.1229287345737165,-0.00010519121872961723,-0.002822598340409651,-0.005254009035465679,0.0,,0.0,0.0,0.0,0.0,,0.2781340430092614,0.2781340430092614,0.0,0.0
0.8,0.1,0.1229287345737165,0.0014244126619060678,0.12548840811193032,0.0024544823194841982,-0.002240023840874562,-0.005529214071211171,-0.0004205246913580243,,0.0011352608763077483,0.0005727525951054192,0.0005717547199885759,-0.0004205246913580243,,0.2781340430092614,0.28068133714440174,0.0025472941351403823,0.027777777777777776
